id,date,incident_type,severity,status,description,reported_by,created_at
574,2025-01-23,SQL Injection,Critical,Mitigating,Description for incident 574,Frank,2025-01-23 10:12:00
575,2025-01-21,Phishing,High,Mitigating,Description for incident 575,David,2025-01-21 22:40:00
576,2025-01-05,Data Breach,Medium,Resolved,Description for incident 576,Bob,2025-01-05 02:58:00
577,2025-02-01,Password Attack,Critical,Mitigating,Description for incident 577,Frank,2025-02-01 06:59:00
578,2025-02-09,DDoS,Medium,Resolved,Description for incident 578,Charlie,2025-02-09 23:28:00
579,2025-02-27,Ransomware,High,Resolved,Description for incident 579,IT Admin,2025-02-27 01:46:00
580,2025-02-11,Ransomware,High,Mitigating,Description for incident 580,Web Team,2025-02-11 10:58:00
581,2025-02-28,DDoS,Critical,Mitigating,Description for incident 581,Charlie,2025-02-28 10:33:00
582,2025-01-30,Password Attack,Medium,Resolved,Description for incident 582,Charlie,2025-01-30 10:30:00
583,2025-02-07,Data Breach,Low,Open,Description for incident 583,IT Admin,2025-02-07 04:34:00
584,2025-01-21,Insider Threat,Critical,Resolved,Description for incident 584,Web Team,2025-01-21 18:49:00
585,2025-02-19,Ransomware,Low,Open,Description for incident 585,Frank,2025-02-19 03:50:00
586,2025-03-01,Insider Threat,Medium,Open,Description for incident 586,Web Team,2025-03-01 22:09:00
587,2025-02-09,Ransomware,High,Mitigating,Description for incident 587,Eve,2025-02-09 13:35:00
588,2025-02-10,Insider Threat,Critical,Open,Description for incident 588,Bob,2025-02-10 20:39:00
589,2025-02-10,SQL Injection,Low,Investigating,Description for incident 589,David,2025-02-10 00:46:00
590,2025-01-30,Password Attack,High,Investigating,Description for incident 590,Charlie,2025-01-30 08:39:00
591,2025-02-16,Phishing,High,Resolved,Description for incident 591,Bob,2025-02-16 00:26:00
592,2025-02-03,Malware,Critical,Investigating,Description for incident 592,Bob,2025-02-03 14:46:00
593,2025-01-24,Ransomware,Medium,Investigating,Description for incident 593,David,2025-01-24 18:46:00
594,2025-01-29,Malware,High,Resolved,Description for incident 594,Security Team,2025-01-29 08:21:00
595,2025-02-25,Unauthorized Access,High,Investigating,Description for incident 595,Security Team,2025-02-25 20:13:00
596,2025-01-10,Malware,High,Resolved,Description for incident 596,Security Team,2025-01-10 04:31:00
597,2025-03-01,Phishing,High,Resolved,Description for incident 597,Grace,2025-03-01 23:06:00
598,2025-02-08,DDoS,High,Investigating,Description for incident 598,Bob,2025-02-08 22:41:00
599,2025-02-07,Malware,Critical,Resolved,Description for incident 599,Security Team,2025-02-07 01:45:00
600,2025-01-13,Insider Threat,High,Mitigating,Description for incident 600,IT Admin,2025-01-13 19:59:00
601,2025-01-27,SQL Injection,High,Mitigating,Description for incident 601,Bob,2025-01-27 15:57:00
602,2025-02-16,Phishing,Low,Investigating,Description for incident 602,Eve,2025-02-16 06:53:00
603,2025-02-01,DDoS,Medium,Resolved,Description for incident 603,Security Team,2025-02-01 11:58:00
604,2025-01-05,Data Breach,Low,Open,Description for incident 604,David,2025-01-05 20:43:00
605,2025-01-02,Phishing,High,Open,Description for incident 605,Bob,2025-01-02 02:04:00
606,2025-02-04,DDoS,High,Investigating,Description for incident 606,Alice,2025-02-04 00:34:00
607,2025-01-30,Insider Threat,Low,Resolved,Description for incident 607,Eve,2025-01-30 05:23:00
608,2025-01-01,SQL Injection,High,Investigating,Description for incident 608,IT Admin,2025-01-01 07:41:00
609,2025-02-28,Data Breach,High,Open,Description for incident 609,Frank,2025-02-28 11:05:00
610,2025-02-25,Data Breach,High,Open,Description for incident 610,Eve,2025-02-25 05:33:00
611,2025-01-11,Unauthorized Access,Medium,Investigating,Description for incident 611,IT Admin,2025-01-11 03:19:00
612,2025-01-12,Data Breach,Medium,Open,Description for incident 612,Charlie,2025-01-12 00:15:00
613,2025-01-02,SQL Injection,Critical,Resolved,Description for incident 613,Grace,2025-01-02 12:15:00
614,2025-01-06,Network Intrusion,Low,Resolved,Description for incident 614,Frank,2025-01-06 18:54:00
615,2025-02-27,Network Intrusion,Critical,Open,Description for incident 615,Grace,2025-02-27 04:53:00
616,2025-01-18,Network Intrusion,Critical,Open,Description for incident 616,Alice,2025-01-18 23:52:00
617,2025-02-20,Ransomware,Medium,Mitigating,Description for incident 617,Grace,2025-02-20 22:59:00
618,2025-02-11,Phishing,Low,Open,Description for incident 618,Charlie,2025-02-11 12:20:00
619,2025-02-27,SQL Injection,Low,Open,Description for incident 619,Web Team,2025-02-27 20:43:00
620,2025-02-23,DDoS,Medium,Open,Description for incident 620,Frank,2025-02-23 10:21:00
621,2025-02-09,Ransomware,Critical,Open,Description for incident 621,Bob,2025-02-09 23:40:00
622,2025-01-07,Password Attack,Critical,Resolved,Description for incident 622,Security Team,2025-01-07 21:27:00
623,2025-02-15,DDoS,Medium,Resolved,Description for incident 623,Charlie,2025-02-15 15:53:00
624,2025-02-15,SQL Injection,Critical,Mitigating,Description for incident 624,Eve,2025-02-15 16:00:00
625,2025-01-25,Network Intrusion,Low,Resolved,Description for incident 625,Web Team,2025-01-25 02:58:00
626,2025-02-12,SQL Injection,High,Resolved,Description for incident 626,Bob,2025-02-12 18:01:00
627,2025-02-27,SQL Injection,Critical,Open,Description for incident 627,Bob,2025-02-27 07:29:00
628,2025-01-04,SQL Injection,High,Investigating,Description for incident 628,Web Team,2025-01-04 16:36:00
629,2025-02-22,Ransomware,Critical,Investigating,Description for incident 629,Alice,2025-02-22 21:53:00
630,2025-01-24,SQL Injection,Low,Investigating,Description for incident 630,Grace,2025-01-24 21:39:00
631,2025-02-20,Phishing,Medium,Open,Description for incident 631,Grace,2025-02-20 12:52:00
632,2025-01-02,Malware,Medium,Investigating,Description for incident 632,Frank,2025-01-02 08:17:00
633,2025-03-01,Malware,Medium,Mitigating,Description for incident 633,Frank,2025-03-01 10:54:00
634,2025-03-02,Malware,High,Mitigating,Description for incident 634,Charlie,2025-03-02 09:13:00
635,2025-02-01,Network Intrusion,High,Resolved,Description for incident 635,IT Admin,2025-02-01 07:34:00
636,2025-01-18,Unauthorized Access,Medium,Resolved,Description for incident 636,Eve,2025-01-18 00:45:00
637,2025-01-28,DDoS,Critical,Mitigating,Description for incident 637,Web Team,2025-01-28 13:09:00
638,2025-02-15,DDoS,Critical,Open,Description for incident 638,Grace,2025-02-15 19:34:00
639,2025-01-10,DDoS,High,Resolved,Description for incident 639,Charlie,2025-01-10 13:46:00
640,2025-02-08,DDoS,High,Mitigating,Description for incident 640,Alice,2025-02-08 15:13:00
641,2025-01-19,Insider Threat,Low,Resolved,Description for incident 641,Bob,2025-01-19 06:23:00
642,2025-01-26,Ransomware,Critical,Resolved,Description for incident 642,Alice,2025-01-26 10:53:00
643,2025-02-20,Malware,Critical,Investigating,Description for incident 643,Web Team,2025-02-20 13:06:00
644,2025-01-03,SQL Injection,Low,Mitigating,Description for incident 644,IT Admin,2025-01-03 04:16:00
645,2025-01-09,Malware,Critical,Investigating,Description for incident 645,Security Team,2025-01-09 16:21:00
646,2025-02-13,Unauthorized Access,High,Open,Description for incident 646,Web Team,2025-02-13 06:00:00
647,2025-02-07,Password Attack,Medium,Investigating,Description for incident 647,Charlie,2025-02-07 16:08:00
648,2025-01-31,DDoS,Medium,Open,Description for incident 648,Bob,2025-01-31 03:30:00
649,2025-01-29,SQL Injection,Medium,Investigating,Description for incident 649,Alice,2025-01-29 08:17:00
650,2025-02-04,DDoS,High,Resolved,Description for incident 650,Web Team,2025-02-04 06:43:00
651,2025-02-02,Password Attack,Critical,Investigating,Description for incident 651,Frank,2025-02-02 19:18:00
652,2025-01-31,Ransomware,Medium,Investigating,Description for incident 652,Frank,2025-01-31 11:41:00
653,2025-01-09,Network Intrusion,High,Resolved,Description for incident 653,Security Team,2025-01-09 03:49:00
654,2025-01-26,Unauthorized Access,High,Investigating,Description for incident 654,Security Team,2025-01-26 20:53:00
655,2025-01-04,Network Intrusion,High,Mitigating,Description for incident 655,Eve,2025-01-04 01:48:00
656,2025-01-31,Unauthorized Access,Critical,Mitigating,Description for incident 656,Grace,2025-01-31 20:20:00
657,2025-02-24,Ransomware,High,Investigating,Description for incident 657,David,2025-02-24 14:08:00
658,2025-01-10,Password Attack,Low,Investigating,Description for incident 658,Charlie,2025-01-10 08:39:00
659,2025-01-02,SQL Injection,Low,Resolved,Description for incident 659,Grace,2025-01-02 14:44:00
660,2025-02-11,Unauthorized Access,Critical,Open,Description for incident 660,Frank,2025-02-11 01:06:00
661,2025-01-03,Malware,Low,Mitigating,Description for incident 661,Charlie,2025-01-03 02:39:00
662,2025-01-16,Unauthorized Access,Medium,Resolved,Description for incident 662,Bob,2025-01-16 13:47:00
663,2025-01-06,Network Intrusion,Critical,Open,Description for incident 663,Charlie,2025-01-06 16:53:00
664,2025-02-22,DDoS,Critical,Resolved,Description for incident 664,IT Admin,2025-02-22 23:06:00
665,2025-02-28,Malware,High,Mitigating,Description for incident 665,David,2025-02-28 01:08:00
666,2025-02-13,Insider Threat,Critical,Resolved,Description for incident 666,IT Admin,2025-02-13 02:50:00
667,2025-02-13,SQL Injection,Medium,Resolved,Description for incident 667,Web Team,2025-02-13 04:51:00
668,2025-02-08,DDoS,Medium,Investigating,Description for incident 668,Alice,2025-02-08 21:54:00
669,2025-01-31,DDoS,Low,Resolved,Description for incident 669,Security Team,2025-01-31 16:37:00
670,2025-02-25,Unauthorized Access,Medium,Open,Description for incident 670,Frank,2025-02-25 16:02:00
671,2025-03-01,Data Breach,Medium,Resolved,Description for incident 671,Web Team,2025-03-01 05:41:00
672,2025-01-14,Unauthorized Access,High,Mitigating,Description for incident 672,Grace,2025-01-14 10:01:00
673,2025-01-04,Malware,Low,Mitigating,Description for incident 673,Security Team,2025-01-04 19:11:00
674,2025-02-08,Network Intrusion,Low,Resolved,Description for incident 674,Alice,2025-02-08 12:54:00
675,2025-01-16,Phishing,Critical,Investigating,Description for incident 675,Web Team,2025-01-16 00:00:00
676,2025-02-22,Unauthorized Access,High,Mitigating,Description for incident 676,Web Team,2025-02-22 05:49:00
677,2025-01-13,Unauthorized Access,High,Resolved,Description for incident 677,Grace,2025-01-13 20:28:00
678,2025-02-10,Password Attack,High,Investigating,Description for incident 678,Charlie,2025-02-10 16:50:00
679,2025-03-01,Phishing,Critical,Investigating,Description for incident 679,Web Team,2025-03-01 23:43:00
680,2025-02-03,Network Intrusion,Critical,Resolved,Description for incident 680,Grace,2025-02-03 00:35:00
681,2025-01-06,SQL Injection,Critical,Mitigating,Description for incident 681,Web Team,2025-01-06 11:48:00
682,2025-01-09,Network Intrusion,Critical,Open,Description for incident 682,Grace,2025-01-09 02:39:00
683,2025-02-27,DDoS,Critical,Mitigating,Description for incident 683,Eve,2025-02-27 23:41:00
684,2025-02-12,Ransomware,Low,Investigating,Description for incident 684,Frank,2025-02-12 07:02:00
685,2025-01-05,Unauthorized Access,Medium,Investigating,Description for incident 685,Web Team,2025-01-05 23:53:00
686,2025-01-13,Phishing,Medium,Resolved,Description for incident 686,Bob,2025-01-13 23:29:00
687,2025-01-24,Unauthorized Access,High,Open,Description for incident 687,Web Team,2025-01-24 13:30:00
688,2025-01-26,Data Breach,Critical,Resolved,Description for incident 688,David,2025-01-26 12:31:00
689,2025-01-11,Password Attack,Medium,Mitigating,Description for incident 689,Charlie,2025-01-11 19:25:00
690,2025-01-04,Insider Threat,High,Open,Description for incident 690,Charlie,2025-01-04 07:16:00
691,2025-01-28,Ransomware,High,Investigating,Description for incident 691,Alice,2025-01-28 00:35:00
692,2025-01-31,Network Intrusion,Low,Resolved,Description for incident 692,Alice,2025-01-31 10:52:00
693,2025-01-16,Ransomware,Medium,Mitigating,Description for incident 693,Eve,2025-01-16 13:58:00
694,2025-01-16,Password Attack,Low,Investigating,Description for incident 694,Grace,2025-01-16 03:26:00
695,2025-01-22,DDoS,High,Mitigating,Description for incident 695,Frank,2025-01-22 09:21:00
696,2025-01-11,Phishing,Medium,Investigating,Description for incident 696,IT Admin,2025-01-11 05:45:00
697,2025-02-25,Malware,Critical,Resolved,Description for incident 697,David,2025-02-25 11:53:00
698,2025-01-22,Password Attack,Low,Open,Description for incident 698,Grace,2025-01-22 06:46:00
699,2025-01-31,Password Attack,Critical,Investigating,Description for incident 699,Charlie,2025-01-31 18:24:00
700,2025-02-25,Insider Threat,Critical,Investigating,Description for incident 700,Grace,2025-02-25 17:09:00
701,2025-01-28,Malware,Critical,Resolved,Description for incident 701,Web Team,2025-01-28 10:12:00
702,2025-01-19,Malware,Medium,Mitigating,Description for incident 702,IT Admin,2025-01-19 16:53:00
703,2025-01-11,Network Intrusion,Medium,Resolved,Description for incident 703,Security Team,2025-01-11 12:20:00
704,2025-01-12,SQL Injection,Medium,Investigating,Description for incident 704,Charlie,2025-01-12 17:06:00
705,2025-01-25,Insider Threat,High,Investigating,Description for incident 705,Bob,2025-01-25 01:09:00
706,2025-02-26,Malware,Low,Mitigating,Description for incident 706,Eve,2025-02-26 02:34:00
707,2025-02-07,Ransomware,Critical,Open,Description for incident 707,Web Team,2025-02-07 11:30:00
708,2025-02-15,Ransomware,Critical,Resolved,Description for incident 708,Eve,2025-02-15 15:00:00
709,2025-02-27,Ransomware,Low,Resolved,Description for incident 709,Alice,2025-02-27 13:05:00
710,2025-02-02,Network Intrusion,Low,Investigating,Description for incident 710,Eve,2025-02-02 02:28:00
711,2025-02-14,Network Intrusion,Critical,Open,Description for incident 711,IT Admin,2025-02-14 21:53:00
712,2025-01-04,Data Breach,Medium,Open,Description for incident 712,David,2025-01-04 21:25:00
713,2025-03-02,Unauthorized Access,Medium,Resolved,Description for incident 713,David,2025-03-02 23:02:00
714,2025-01-24,Password Attack,Low,Investigating,Description for incident 714,IT Admin,2025-01-24 01:34:00
715,2025-02-20,Malware,Low,Investigating,Description for incident 715,Security Team,2025-02-20 15:20:00
716,2025-01-04,Unauthorized Access,Low,Mitigating,Description for incident 716,Web Team,2025-01-04 09:17:00
717,2025-01-22,Malware,High,Investigating,Description for incident 717,David,2025-01-22 14:12:00
718,2025-01-14,Ransomware,High,Resolved,Description for incident 718,Charlie,2025-01-14 18:03:00
719,2025-01-24,SQL Injection,High,Investigating,Description for incident 719,Alice,2025-01-24 03:36:00
720,2025-01-21,Ransomware,High,Open,Description for incident 720,IT Admin,2025-01-21 08:44:00
721,2025-02-27,Password Attack,Low,Open,Description for incident 721,Bob,2025-02-27 07:21:00
722,2025-01-30,Network Intrusion,Medium,Investigating,Description for incident 722,Web Team,2025-01-30 12:20:00
723,2025-01-08,Malware,Low,Investigating,Description for incident 723,Web Team,2025-01-08 22:40:00
724,2025-02-19,Unauthorized Access,Medium,Open,Description for incident 724,Grace,2025-02-19 01:42:00
725,2025-02-23,Insider Threat,High,Mitigating,Description for incident 725,Grace,2025-02-23 00:53:00
726,2025-01-25,Password Attack,Critical,Resolved,Description for incident 726,Security Team,2025-01-25 12:05:00
727,2025-01-01,Phishing,Critical,Resolved,Description for incident 727,IT Admin,2025-01-01 01:25:00
728,2025-01-18,Insider Threat,Medium,Investigating,Description for incident 728,IT Admin,2025-01-18 23:01:00
729,2025-02-09,Ransomware,Critical,Mitigating,Description for incident 729,Security Team,2025-02-09 12:59:00
730,2025-03-01,Malware,Medium,Mitigating,Description for incident 730,Eve,2025-03-01 04:49:00
731,2025-02-23,SQL Injection,Medium,Investigating,Description for incident 731,Alice,2025-02-23 08:19:00
732,2025-02-12,Insider Threat,Medium,Investigating,Description for incident 732,Alice,2025-02-12 06:51:00
733,2025-02-25,Data Breach,High,Mitigating,Description for incident 733,Grace,2025-02-25 10:08:00
734,2025-02-18,Network Intrusion,High,Investigating,Description for incident 734,Frank,2025-02-18 23:25:00
735,2025-01-16,Password Attack,Critical,Resolved,Description for incident 735,David,2025-01-16 17:20:00
736,2025-02-25,Network Intrusion,Critical,Resolved,Description for incident 736,David,2025-02-25 16:53:00
737,2025-02-08,Phishing,Medium,Open,Description for incident 737,Eve,2025-02-08 12:05:00
738,2025-01-22,Data Breach,Critical,Resolved,Description for incident 738,David,2025-01-22 18:21:00
739,2025-01-18,Data Breach,High,Mitigating,Description for incident 739,Security Team,2025-01-18 14:50:00
740,2025-01-10,Ransomware,Critical,Investigating,Description for incident 740,David,2025-01-10 22:06:00
741,2025-02-03,Phishing,Medium,Mitigating,Description for incident 741,IT Admin,2025-02-03 04:17:00
742,2025-01-03,Password Attack,Critical,Open,Description for incident 742,Web Team,2025-01-03 15:44:00
743,2025-01-31,Phishing,Low,Investigating,Description for incident 743,Eve,2025-01-31 18:59:00
744,2025-02-26,Phishing,Medium,Investigating,Description for incident 744,Security Team,2025-02-26 23:15:00
745,2025-01-04,Network Intrusion,High,Mitigating,Description for incident 745,Eve,2025-01-04 04:39:00
746,2025-02-20,SQL Injection,Critical,Open,Description for incident 746,Charlie,2025-02-20 01:28:00
747,2025-01-23,Ransomware,Medium,Mitigating,Description for incident 747,Alice,2025-01-23 00:55:00
748,2025-01-01,Network Intrusion,High,Investigating,Description for incident 748,Grace,2025-01-01 20:08:00
749,2025-02-14,Insider Threat,Low,Open,Description for incident 749,Web Team,2025-02-14 20:18:00
750,2025-01-27,Insider Threat,High,Mitigating,Description for incident 750,Web Team,2025-01-27 02:15:00
751,2025-02-09,Unauthorized Access,Medium,Mitigating,Description for incident 751,Grace,2025-02-09 07:02:00
752,2025-01-11,Ransomware,Medium,Open,Description for incident 752,IT Admin,2025-01-11 23:43:00
753,2025-01-08,Malware,Critical,Mitigating,Description for incident 753,IT Admin,2025-01-08 07:33:00
754,2025-02-25,Malware,Medium,Mitigating,Description for incident 754,Charlie,2025-02-25 16:19:00
755,2025-01-10,Phishing,Critical,Mitigating,Description for incident 755,Web Team,2025-01-10 13:51:00
756,2025-02-24,Malware,Low,Investigating,Description for incident 756,Eve,2025-02-24 03:43:00
757,2025-01-20,Password Attack,Medium,Resolved,Description for incident 757,Grace,2025-01-20 05:01:00
758,2025-01-30,Ransomware,Critical,Resolved,Description for incident 758,Charlie,2025-01-30 00:19:00
759,2025-01-24,Insider Threat,Low,Resolved,Description for incident 759,Bob,2025-01-24 20:42:00
760,2025-01-15,SQL Injection,High,Mitigating,Description for incident 760,Frank,2025-01-15 16:37:00
761,2025-02-21,Network Intrusion,High,Resolved,Description for incident 761,Grace,2025-02-21 23:52:00
762,2025-02-27,SQL Injection,High,Mitigating,Description for incident 762,Bob,2025-02-27 01:56:00
763,2025-02-25,Ransomware,High,Resolved,Description for incident 763,Eve,2025-02-25 10:19:00
764,2025-02-07,DDoS,Critical,Investigating,Description for incident 764,Web Team,2025-02-07 03:08:00
765,2025-01-12,DDoS,Critical,Open,Description for incident 765,Bob,2025-01-12 14:13:00
766,2025-01-15,Phishing,High,Mitigating,Description for incident 766,Eve,2025-01-15 04:24:00
767,2025-01-29,Phishing,High,Investigating,Description for incident 767,Frank,2025-01-29 07:14:00
768,2025-01-25,Password Attack,Low,Mitigating,Description for incident 768,Charlie,2025-01-25 01:44:00
769,2025-01-04,Phishing,Low,Investigating,Description for incident 769,David,2025-01-04 08:28:00
770,2025-02-04,Network Intrusion,High,Open,Description for incident 770,Security Team,2025-02-04 17:24:00
771,2025-01-13,DDoS,Medium,Open,Description for incident 771,IT Admin,2025-01-13 03:16:00
772,2025-03-01,Ransomware,Critical,Mitigating,Description for incident 772,David,2025-03-01 19:02:00
773,2025-02-14,Password Attack,High,Open,Description for incident 773,Grace,2025-02-14 07:37:00
774,2025-01-01,Data Breach,Low,Resolved,Description for incident 774,Web Team,2025-01-01 05:05:00
775,2025-02-14,Malware,High,Resolved,Description for incident 775,Charlie,2025-02-14 21:56:00
776,2025-02-27,Data Breach,Low,Mitigating,Description for incident 776,Eve,2025-02-27 06:10:00
777,2025-01-29,Password Attack,Low,Resolved,Description for incident 777,Charlie,2025-01-29 09:26:00
778,2025-01-26,Unauthorized Access,Low,Mitigating,Description for incident 778,Grace,2025-01-26 22:53:00
779,2025-03-01,Insider Threat,Critical,Investigating,Description for incident 779,IT Admin,2025-03-01 05:19:00
780,2025-01-01,Data Breach,Medium,Resolved,Description for incident 780,Eve,2025-01-01 02:59:00
781,2025-02-14,Password Attack,Medium,Investigating,Description for incident 781,Eve,2025-02-14 19:11:00
782,2025-02-24,Data Breach,High,Investigating,Description for incident 782,Security Team,2025-02-24 05:24:00
783,2025-01-19,Malware,High,Investigating,Description for incident 783,David,2025-01-19 02:21:00
784,2025-01-06,Network Intrusion,Low,Open,Description for incident 784,IT Admin,2025-01-06 15:36:00
785,2025-03-01,Ransomware,Medium,Open,Description for incident 785,Eve,2025-03-01 14:29:00
786,2025-02-27,Ransomware,Medium,Open,Description for incident 786,David,2025-02-27 12:10:00
787,2025-02-19,Network Intrusion,Medium,Mitigating,Description for incident 787,IT Admin,2025-02-19 15:07:00
788,2025-02-18,Network Intrusion,High,Mitigating,Description for incident 788,IT Admin,2025-02-18 04:24:00
789,2025-02-06,Insider Threat,Critical,Resolved,Description for incident 789,Charlie,2025-02-06 15:29:00
790,2025-02-26,Phishing,Medium,Investigating,Description for incident 790,Frank,2025-02-26 14:19:00
791,2025-02-25,Unauthorized Access,High,Open,Description for incident 791,David,2025-02-25 17:11:00
792,2025-01-19,Ransomware,Low,Resolved,Description for incident 792,Grace,2025-01-19 09:04:00
793,2025-01-24,Ransomware,High,Resolved,Description for incident 793,Alice,2025-01-24 23:26:00
794,2025-02-01,Ransomware,High,Mitigating,Description for incident 794,Charlie,2025-02-01 18:49:00
795,2025-02-19,Ransomware,Critical,Investigating,Description for incident 795,Charlie,2025-02-19 03:06:00
796,2025-01-06,Insider Threat,Critical,Open,Description for incident 796,Security Team,2025-01-06 04:30:00
797,2025-02-15,Unauthorized Access,Critical,Resolved,Description for incident 797,Alice,2025-02-15 12:30:00
798,2025-02-06,Unauthorized Access,High,Open,Description for incident 798,Eve,2025-02-06 00:58:00
799,2025-01-09,Insider Threat,Low,Investigating,Description for incident 799,Frank,2025-01-09 15:43:00
800,2025-01-17,Malware,Medium,Open,Description for incident 800,Bob,2025-01-17 07:56:00
801,2025-01-19,Ransomware,Low,Mitigating,Description for incident 801,Frank,2025-01-19 02:38:00
802,2025-01-05,Malware,Critical,Mitigating,Description for incident 802,Bob,2025-01-05 00:41:00
803,2025-01-02,SQL Injection,Critical,Mitigating,Description for incident 803,Frank,2025-01-02 00:00:00
804,2025-01-07,DDoS,Low,Mitigating,Description for incident 804,Frank,2025-01-07 17:43:00
805,2025-01-28,Malware,Medium,Mitigating,Description for incident 805,Charlie,2025-01-28 05:21:00
806,2025-01-11,DDoS,Medium,Resolved,Description for incident 806,Charlie,2025-01-11 20:34:00
807,2025-01-17,Password Attack,High,Resolved,Description for incident 807,Eve,2025-01-17 07:48:00
808,2025-01-10,Unauthorized Access,Low,Mitigating,Description for incident 808,Web Team,2025-01-10 20:36:00
809,2025-02-19,Unauthorized Access,Medium,Investigating,Description for incident 809,Security Team,2025-02-19 01:54:00
810,2025-02-23,Password Attack,Medium,Resolved,Description for incident 810,Grace,2025-02-23 04:20:00
811,2025-01-09,Insider Threat,High,Mitigating,Description for incident 811,IT Admin,2025-01-09 15:48:00
812,2025-02-26,Malware,High,Investigating,Description for incident 812,IT Admin,2025-02-26 07:58:00
813,2025-01-28,Malware,Low,Resolved,Description for incident 813,Charlie,2025-01-28 11:53:00
814,2025-02-14,Phishing,High,Mitigating,Description for incident 814,Grace,2025-02-14 07:34:00
815,2025-01-28,Insider Threat,Critical,Resolved,Description for incident 815,Web Team,2025-01-28 03:05:00
816,2025-01-13,Phishing,Low,Mitigating,Description for incident 816,Web Team,2025-01-13 08:19:00
817,2025-02-08,SQL Injection,High,Resolved,Description for incident 817,Charlie,2025-02-08 20:26:00
818,2025-02-22,Ransomware,High,Open,Description for incident 818,Alice,2025-02-22 18:53:00
819,2025-03-01,SQL Injection,High,Investigating,Description for incident 819,Frank,2025-03-01 13:55:00
820,2025-01-08,Insider Threat,Medium,Resolved,Description for incident 820,David,2025-01-08 13:49:00
821,2025-02-23,Data Breach,Medium,Resolved,Description for incident 821,Alice,2025-02-23 05:13:00
822,2025-02-24,Network Intrusion,Critical,Resolved,Description for incident 822,David,2025-02-24 06:07:00
823,2025-02-24,Network Intrusion,Medium,Mitigating,Description for incident 823,Eve,2025-02-24 14:19:00
824,2025-01-29,Network Intrusion,High,Resolved,Description for incident 824,Charlie,2025-01-29 07:16:00
825,2025-02-10,Ransomware,Low,Open,Description for incident 825,Grace,2025-02-10 04:28:00
826,2025-01-26,Phishing,High,Mitigating,Description for incident 826,IT Admin,2025-01-26 18:45:00
827,2025-01-24,Phishing,Critical,Resolved,Description for incident 827,Frank,2025-01-24 16:59:00
828,2025-01-15,Insider Threat,Medium,Mitigating,Description for incident 828,Charlie,2025-01-15 10:43:00
829,2025-02-05,Unauthorized Access,Low,Mitigating,Description for incident 829,Security Team,2025-02-05 23:05:00
830,2025-02-27,Password Attack,Low,Open,Description for incident 830,David,2025-02-27 07:05:00
831,2025-02-17,Malware,Medium,Investigating,Description for incident 831,Eve,2025-02-17 07:06:00
832,2025-01-12,Password Attack,Low,Open,Description for incident 832,Security Team,2025-01-12 12:48:00
833,2025-01-01,Insider Threat,High,Investigating,Description for incident 833,Bob,2025-01-01 09:54:00
834,2025-01-10,Malware,Critical,Resolved,Description for incident 834,Frank,2025-01-10 03:47:00
835,2025-01-25,DDoS,Low,Mitigating,Description for incident 835,Charlie,2025-01-25 08:53:00
836,2025-02-28,Password Attack,Medium,Investigating,Description for incident 836,Security Team,2025-02-28 18:48:00
837,2025-02-21,DDoS,Low,Resolved,Description for incident 837,Eve,2025-02-21 05:31:00
838,2025-02-04,Network Intrusion,High,Resolved,Description for incident 838,Web Team,2025-02-04 10:52:00
839,2025-01-05,SQL Injection,High,Resolved,Description for incident 839,Frank,2025-01-05 16:39:00
840,2025-02-15,Unauthorized Access,High,Open,Description for incident 840,David,2025-02-15 23:49:00
841,2025-02-17,Data Breach,Medium,Open,Description for incident 841,David,2025-02-17 03:12:00
842,2025-01-06,Password Attack,High,Open,Description for incident 842,Web Team,2025-01-06 23:53:00
843,2025-02-20,Malware,Low,Mitigating,Description for incident 843,IT Admin,2025-02-20 01:31:00
844,2025-03-01,Network Intrusion,Critical,Open,Description for incident 844,Charlie,2025-03-01 05:11:00
845,2025-02-13,SQL Injection,High,Mitigating,Description for incident 845,David,2025-02-13 18:33:00
846,2025-01-15,Network Intrusion,Low,Open,Description for incident 846,Grace,2025-01-15 02:29:00
847,2025-01-21,Unauthorized Access,Low,Investigating,Description for incident 847,Charlie,2025-01-21 19:27:00
848,2025-03-02,Data Breach,Critical,Mitigating,Description for incident 848,Alice,2025-03-02 01:51:00
849,2025-01-27,SQL Injection,High,Investigating,Description for incident 849,IT Admin,2025-01-27 08:39:00
850,2025-01-11,DDoS,High,Resolved,Description for incident 850,Bob,2025-01-11 10:29:00
851,2025-02-14,Malware,Low,Open,Description for incident 851,Bob,2025-02-14 06:40:00
852,2025-01-05,Network Intrusion,Medium,Resolved,Description for incident 852,David,2025-01-05 23:48:00
853,2025-02-22,DDoS,High,Resolved,Description for incident 853,David,2025-02-22 08:48:00
854,2025-02-02,Unauthorized Access,Medium,Open,Description for incident 854,Grace,2025-02-02 06:55:00
855,2025-01-26,Password Attack,Medium,Resolved,Description for incident 855,Bob,2025-01-26 01:16:00
856,2025-02-22,Network Intrusion,Medium,Mitigating,Description for incident 856,Charlie,2025-02-22 01:32:00
857,2025-01-06,Data Breach,High,Mitigating,Description for incident 857,Frank,2025-01-06 22:01:00
858,2025-03-01,Unauthorized Access,Medium,Resolved,Description for incident 858,Eve,2025-03-01 02:43:00
859,2025-02-05,Ransomware,Low,Resolved,Description for incident 859,Alice,2025-02-05 11:59:00
860,2025-01-03,Insider Threat,Low,Open,Description for incident 860,Security Team,2025-01-03 11:59:00
